,leading_space_count,table_index,synonym_index,modifies_line,line,synonym_name,affix_type,affix
32502,5,631,0,-1,     RECORD               ESCROW-STAT-RCRD                         VER     1 D  SUFFIX -S1,ESCROW-STAT-RCRD,SUFFIX,-S1
32527,5,632,0,-1,     RECORD               ESCROW-XTR                               VER     1 D,ESCROW-XTR,,
32654,5,633,0,-1,     RECORD               EVENT-HN                                 VER     1 S  SUFFIX -4702,EVENT-HN,SUFFIX,-4702
32673,5,634,0,-1,     RECORD               EXCESS                                   VER     1 D  SUFFIX -OLH,EXCESS,SUFFIX,-OLH
32703,5,635,0,-1,     RECORD               EXCESS-PYMT-RCRD                         VER     1 D  PREFIX W058-,EXCESS-PYMT-RCRD,PREFIX,W058-
32713,5,636,0,-1,     RECORD               EXPERTISE                                VER   100 S  SUFFIX -0425,EXPERTISE,SUFFIX,-0425
32728,5,636,1,-1,     RECORD SYNONYM       EXPRTISE                                 VER   100 D,EXPRTISE,,
32743,5,636,2,-1,     RECORD SYNONYM       EXPRTS                                   VER   100 D,EXPRTS,,
32763,5,637,0,-1,     RECORD               EXPSCTRL                                 VER     1 S  SUFFIX -4500,EXPSCTRL,SUFFIX,-4500
32773,5,638,0,-1,     RECORD               EXTRCT-PLAS-DATA                         VER     1 D  SUFFIX -RDA,EXTRCT-PLAS-DATA,SUFFIX,-RDA
32829,5,639,0,-1,     RECORD               FAADS-FOC-EXTNSN                         VER     1 D  SUFFIX -F1,FAADS-FOC-EXTNSN,SUFFIX,-F1
32845,5,639,1,-1,     RECORD SYNONYM       FAADS-F0C-EXTNSN-2                       VER     1 D  SUFFIX -F2,FAADS-F0C-EXTNSN-2,SUFFIX,-F2
32868,5,640,0,-1,     RECORD               FAADS-FOC-MSTR                           VER     1 D  SUFFIX -F1,FAADS-FOC-MSTR,SUFFIX,-F1
32927,5,641,0,-1,     RECORD               FAADS-FOC-RCRD                           VER     1 D  SUFFIX -F1,FAADS-FOC-RCRD,SUFFIX,-F1
32967,5,641,1,-1,     RECORD SYNONYM       FAADS-FOC-RCRD-2                         VER     1 D  SUFFIX -F2,FAADS-FOC-RCRD-2,SUFFIX,-F2
33010,5,642,0,-1,     RECORD               FACRC                                    VER     6 D  PREFIX D260-,FACRC,PREFIX,D260-
33158,5,643,0,-1,     RECORD               FACRC                                    VER     7 S  PREFIX D260-,FACRC,PREFIX,D260-
33266,5,644,0,-1,     RECORD               FAMRS-EQUITY                             VER     4 D,FAMRS-EQUITY,,
33299,5,645,0,-1,     RECORD               FARMS-ACCT-DATA                          VER     3 D,FARMS-ACCT-DATA,,
33320,5,645,1,-1,     RECORD SYNONYM       ACCT-DATA                                VER     3 D,ACCT-DATA,,
33351,5,646,0,-1,     RECORD               FARMS-ACCT-DATA                          VER     5 D,FARMS-ACCT-DATA,,
33377,5,646,1,-1,     RECORD SYNONYM       ACCT-DATA                                VER     5 D,ACCT-DATA,,
33408,5,647,0,-1,     RECORD               FARMS-ACCT-DATA                          VER     6 D,FARMS-ACCT-DATA,,
33434,5,647,1,-1,     RECORD SYNONYM       ACCT-DATA                                VER     6 D,ACCT-DATA,,
33462,5,648,0,-1,     RECORD               FARMS-ACCT-DATA                          VER     7 D,FARMS-ACCT-DATA,,
33489,5,648,1,-1,     RECORD SYNONYM       ACCT-DATA                                VER     7 D,ACCT-DATA,,
33519,5,649,0,-1,     RECORD               FARMS-ACCT-DATA                          VER     8 D,FARMS-ACCT-DATA,,
33547,5,649,1,-1,     RECORD SYNONYM       ACCT-DATA                                VER     8 D,ACCT-DATA,,
33615,5,650,0,-1,     RECORD               FARMS-ACCT-DATA                          VER     9 D,FARMS-ACCT-DATA,,
33644,5,650,1,-1,     RECORD SYNONYM       ACCT-DATA                                VER     9 S,ACCT-DATA,,
33824,5,651,0,-1,     RECORD               FARMS-ACCT-DATA                          VER    10 D,FARMS-ACCT-DATA,,
33856,5,651,1,-1,     RECORD SYNONYM       ACCT-DATA                                VER    10 D,ACCT-DATA,,
33898,5,652,0,-1,     RECORD               FARMS-ACCT-DATA                          VER    11 D,FARMS-ACCT-DATA,,
33930,5,652,1,-1,     RECORD SYNONYM       ACCT-DATA                                VER    11 S,ACCT-DATA,,
33974,5,653,0,-1,     RECORD               FARMS-ACCT-HIST                          VER     1 D,FARMS-ACCT-HIST,,
33977,5,653,1,-1,     RECORD SYNONYM       ACCT-HIST                                VER     1 D  SUFFIX -452,ACCT-HIST,SUFFIX,-452
33990,5,654,0,-1,     RECORD               FARMS-ACCT-HIST                          VER     2 D,FARMS-ACCT-HIST,,
34005,5,654,1,-1,     RECORD SYNONYM       ACCT-HIST                                VER     2 S  SUFFIX -452,ACCT-HIST,SUFFIX,-452
34033,5,655,0,-1,     RECORD               FARMS-ACQD-PROP                          VER     5 D,FARMS-ACQD-PROP,,
34131,5,655,1,-1,     RECORD SYNONYM       ACQD-PROP                                VER     5 D,ACQD-PROP,,
34233,5,656,0,-1,     RECORD               FARMS-ACQD-PROP                          VER     6 D,FARMS-ACQD-PROP,,
34336,5,656,1,-1,     RECORD SYNONYM       ACQD-PROP                                VER     6 D,ACQD-PROP,,
34445,5,657,0,-1,     RECORD               FARMS-ACQD-PROP                          VER     9 D,FARMS-ACQD-PROP,,
34548,5,657,1,-1,     RECORD SYNONYM       ACQD-PROP                                VER     9 D,ACQD-PROP,,
34655,5,658,0,-1,     RECORD               FARMS-ACQD-PROP                          VER    10 D,FARMS-ACQD-PROP,,
34777,5,658,1,-1,     RECORD SYNONYM       ACQD-PROP                                VER    10 D,ACQD-PROP,,
34910,5,659,0,-1,     RECORD               FARMS-ACQD-PROP                          VER    11 D,FARMS-ACQD-PROP,,
35032,5,659,1,-1,     RECORD SYNONYM       ACQD-PROP                                VER    11 S,ACQD-PROP,,
35246,5,660,0,-1,     RECORD               FARMS-ADPS-CNTRL                         VER    90 D,FARMS-ADPS-CNTRL,,
35252,5,660,1,-1,     RECORD SYNONYM       ADPS-CNTRL                               VER    90 S  SUFFIX -203,ADPS-CNTRL,SUFFIX,-203
35271,5,661,0,-1,     RECORD               FARMS-ADVANCE                            VER     1 D,FARMS-ADVANCE,,
35278,5,661,1,-1,     RECORD SYNONYM       ADVANCE                                  VER     1 S,ADVANCE,,
35382,5,662,0,-1,     RECORD               FARMS-AID                                VER     2 D,FARMS-AID,,
35399,5,662,1,-1,     RECORD SYNONYM       AID                                      VER     2 S,AID,,
35479,5,663,0,-1,     RECORD               FARMS-ALTMADJ                            VER     1 D,FARMS-ALTMADJ,,
35516,5,663,1,-1,     RECORD SYNONYM       ALTMADJ                                  VER     1 D  SUFFIX -1095,ALTMADJ,SUFFIX,-1095
35566,5,664,0,-1,     RECORD               FARMS-ALTMADJ                            VER     3 D,FARMS-ALTMADJ,,
35604,5,664,1,-1,     RECORD SYNONYM       ALTMADJ                                  VER     3 S  SUFFIX -1095,ALTMADJ,SUFFIX,-1095
35663,5,665,0,-1,     RECORD               FARMS-ALTMADJ-NEW                        VER     1 D,FARMS-ALTMADJ-NEW,,
35702,5,665,1,-1,     RECORD SYNONYM       ALTMADJ-NEW                              VER     1 S  SUFFIX -266,ALTMADJ-NEW,SUFFIX,-266
35761,5,666,0,-1,     RECORD               FARMS-ALTMT                              VER     1 D,FARMS-ALTMT,,
35767,5,666,1,-1,     RECORD SYNONYM       ALTMT                                    VER     1 S  SUFFIX -220,ALTMT,SUFFIX,-220
35949,5,667,0,-1,     RECORD               FARMS-AMORTD-CST                         VER     1 D,FARMS-AMORTD-CST,,
35957,5,667,1,-1,     RECORD SYNONYM       AMORTD-CST                               VER     1 S,AMORTD-CST,,
36056,5,668,0,-1,     RECORD               FARMS-APROPTN-LOOKUP                     VER     2 D,FARMS-APROPTN-LOOKUP,,
36067,5,668,1,-1,     RECORD SYNONYM       APROPTN-LOOKUP                           VER     2 S  SUFFIX -170,APROPTN-LOOKUP,SUFFIX,-170
36117,5,669,0,-1,     RECORD               FARMS-ASSISTANCE                         VER     2 D,FARMS-ASSISTANCE,,
36131,5,669,1,-1,     RECORD SYNONYM       ASSISTANCE                               VER     2 D,ASSISTANCE,,
36183,5,670,0,-1,     RECORD               FARMS-ASSISTANCE                         VER     3 D,FARMS-ASSISTANCE,,
36197,5,670,1,-1,     RECORD SYNONYM       ASSISTANCE                               VER     3 S,ASSISTANCE,,
36235,5,671,0,-1,     RECORD               FARMS-ASSOC-PRIN-BOND                    VER     1 D,FARMS-ASSOC-PRIN-BOND,,
36243,5,671,1,-1,     RECORD SYNONYM       ASSOC-PRIN-BOND                          VER     1 S,ASSOC-PRIN-BOND,,
36338,5,672,0,-1,     RECORD               FARMS-CASE                               VER    90 D,FARMS-CASE,,
36347,5,672,1,-1,     RECORD SYNONYM       CASE                                     VER    90 S,CASE,,
36408,5,673,0,-1,     RECORD               FARMS-CDEJUNC                            VER     1 D,FARMS-CDEJUNC,,
36413,5,673,1,-1,     RECORD SYNONYM       CDEJUNC                                  VER     1 S  SUFFIX -171,CDEJUNC,SUFFIX,-171
36432,5,674,0,-1,     RECORD               FARMS-CDESTR                             VER     3 D,FARMS-CDESTR,,
36455,5,674,1,-1,     RECORD SYNONYM       CDESTR                                   VER     3 D  SUFFIX -166,CDESTR,SUFFIX,-166
36489,5,675,0,-1,     RECORD               FARMS-CDESTR                             VER     4 D,FARMS-CDESTR,,
36515,5,675,1,-1,     RECORD SYNONYM       CDESTR                                   VER     4 S  SUFFIX -166,CDESTR,SUFFIX,-166
36560,5,676,0,-1,     RECORD               FARMS-CHECKS                             VER     2 D,FARMS-CHECKS,,
36566,5,676,1,-1,     RECORD SYNONYM       CHECKS                                   VER     2 D,CHECKS,,
36605,5,677,0,-1,     RECORD               FARMS-CHECKS                             VER     3 D,FARMS-CHECKS,,
36613,5,677,1,-1,     RECORD SYNONYM       CHECKS                                   VER     3 D,CHECKS,,
36633,5,678,0,-1,     RECORD               FARMS-CHECKS                             VER     4 D,FARMS-CHECKS,,
36642,5,678,1,-1,     RECORD SYNONYM       CHECKS                                   VER     4 D,CHECKS,,
36664,5,679,0,-1,     RECORD               FARMS-CHECKS                             VER     5 D,FARMS-CHECKS,,
36674,5,679,1,-1,     RECORD SYNONYM       CHECKS                                   VER     5 S,CHECKS,,
36702,5,680,0,-1,     RECORD               FARMS-CK-CNTRL                           VER     2 D,FARMS-CK-CNTRL,,
36712,5,680,1,-1,     RECORD SYNONYM       CK-CNTRL                                 VER     2 S  SUFFIX -290,CK-CNTRL,SUFFIX,-290
36763,5,681,0,-1,     RECORD               FARMS-CK-INFO                            VER     2 D,FARMS-CK-INFO,,
36786,5,681,1,-1,     RECORD SYNONYM       CK-INFO                                  VER     2 D  SUFFIX -350,CK-INFO,SUFFIX,-350
36847,5,682,0,-1,     RECORD               FARMS-CK-INFO                            VER     3 D,FARMS-CK-INFO,,
36884,5,682,1,-1,     RECORD SYNONYM       CK-INFO                                  VER     3 S  SUFFIX -350,CK-INFO,SUFFIX,-350
36940,5,683,0,-1,     RECORD               FARMS-CK-INFO-FRADS                      VER     1 D,FARMS-CK-INFO-FRADS,,
36971,5,683,1,-1,     RECORD SYNONYM       CK-INFO-FRADS                            VER     1 S  SUFFIX -351,CK-INFO-FRADS,SUFFIX,-351
37045,5,684,0,-1,     RECORD               FARMS-CLIENT                             VER    10 D,FARMS-CLIENT,,
37113,5,684,1,-1,     RECORD SYNONYM       CLIENT                                   VER    10 D,CLIENT,,
37228,5,685,0,-1,     RECORD               FARMS-CLIENT                             VER    11 D,FARMS-CLIENT,,
37316,5,685,1,-1,     RECORD SYNONYM       CLIENT                                   VER    11 S,CLIENT,,
37570,5,686,0,-1,     RECORD               FARMS-CLIENT                             VER    12 D,FARMS-CLIENT,,
37660,5,686,1,-1,     RECORD SYNONYM       CLIENT                                   VER    12 D,CLIENT,,
37758,5,687,0,-1,     RECORD               FARMS-CLIENT                             VER    13 D,FARMS-CLIENT,,
37849,5,687,1,-1,     RECORD SYNONYM       CLIENT                                   VER    13 D,CLIENT,,
37948,5,688,0,-1,     RECORD               FARMS-CLIENT                             VER    14 D,FARMS-CLIENT,,
38039,5,688,1,-1,     RECORD SYNONYM       CLIENT                                   VER    14 S,CLIENT,,
38141,5,689,0,-1,     RECORD               FARMS-CLIENT                             VER    15 D,FARMS-CLIENT,,
38234,5,689,1,-1,     RECORD SYNONYM       CLIENT                                   VER    15 S,CLIENT,,
38343,5,690,0,-1,     RECORD               FARMS-CLIENT-HIST                        VER     1 D,FARMS-CLIENT-HIST,,
38349,5,690,1,-1,     RECORD SYNONYM       CLIENT-HIST                              VER     1 S  SUFFIX -450,CLIENT-HIST,SUFFIX,-450
38369,5,691,0,-1,     RECORD               FARMS-CLIENT-SFSI                        VER     4 D,FARMS-CLIENT-SFSI,,
38384,5,691,1,-1,     RECORD SYNONYM       CLIENT-SFSI                              VER     4 D  SUFFIX -108,CLIENT-SFSI,SUFFIX,-108
38411,5,692,0,-1,     RECORD               FARMS-CLIENT-SFSI                        VER     5 D,FARMS-CLIENT-SFSI,,
38428,5,692,1,-1,     RECORD SYNONYM       CLIENT-SFSI                              VER     5 S  SUFFIX -108,CLIENT-SFSI,SUFFIX,-108
38464,5,693,0,-1,     RECORD               FARMS-COHORT                             VER     1 D,FARMS-COHORT,,
38467,5,693,1,-1,     RECORD SYNONYM       COHORT                                   VER     1 S  SUFFIX -164,COHORT,SUFFIX,-164
38498,5,694,0,-1,     RECORD               FARMS-CRBUR                              VER     1 D,FARMS-CRBUR,,
38531,5,694,1,-1,     RECORD SYNONYM       CRBUR                                    VER     1 S  SUFFIX -302,CRBUR,SUFFIX,-302
38584,5,695,0,-1,     RECORD               FARMS-CRCLAIMS                           VER     1 D,FARMS-CRCLAIMS,,
38638,5,695,1,-1,     RECORD SYNONYM       CRCLAIMS                                 VER     1 D  SUFFIX -218,CRCLAIMS,SUFFIX,-218
38703,5,696,0,-1,     RECORD               FARMS-CRCLAIMS                           VER     2 D,FARMS-CRCLAIMS,,
38758,5,696,1,-1,     RECORD SYNONYM       CRCLAIMS                                 VER     2 D  SUFFIX -218,CRCLAIMS,SUFFIX,-218
38824,5,697,0,-1,     RECORD               FARMS-CRCLAIMS                           VER     3 D,FARMS-CRCLAIMS,,
38885,5,697,1,-1,     RECORD SYNONYM       CRCLAIMS                                 VER     3 D  SUFFIX -218,CRCLAIMS,SUFFIX,-218
38961,5,698,0,-1,     RECORD               FARMS-CRCLAIMS                           VER     4 D,FARMS-CRCLAIMS,,
39025,5,698,1,-1,     RECORD SYNONYM       CRCLAIMS                                 VER     4 S  SUFFIX -218,CRCLAIMS,SUFFIX,-218
39095,5,699,0,-1,     RECORD               FARMS-CRRATE                             VER     1 D,FARMS-CRRATE,,
39102,5,699,1,-1,     RECORD SYNONYM       CRRATE                                   VER     1 D  SUFFIX -162,CRRATE,SUFFIX,-162
39112,5,700,0,-1,     RECORD               FARMS-CRRATE                             VER     2 D,FARMS-CRRATE,,
39120,5,700,1,-1,     RECORD SYNONYM       CRRATE                                   VER     2 D  SUFFIX -162,CRRATE,SUFFIX,-162
39138,5,701,0,-1,     RECORD               FARMS-CRRATE                             VER     3 D,FARMS-CRRATE,,
39147,5,701,1,-1,     RECORD SYNONYM       CRRATE                                   VER     3 S  SUFFIX -162,CRRATE,SUFFIX,-162
39173,5,702,0,-1,     RECORD               FARMS-CTY-LOOKUP                         VER     1 D,FARMS-CTY-LOOKUP,,
39190,5,702,1,-1,     RECORD SYNONYM       CTY-LOOKUP                               VER     1 S  SUFFIX -150,CTY-LOOKUP,SUFFIX,-150
39280,5,703,0,-1,     RECORD               FARMS-DALLOT                             VER     1 D,FARMS-DALLOT,,
39289,5,703,1,-1,     RECORD SYNONYM       DALLOT                                   VER     1 D  SUFFIX -235,DALLOT,SUFFIX,-235
39374,5,704,0,-1,     RECORD               FARMS-DALLOT                             VER     2 D,FARMS-DALLOT,,
39383,5,704,1,-1,     RECORD SYNONYM       DALLOT                                   VER     2 S  SUFFIX -235,DALLOT,SUFFIX,-235
39434,5,705,0,-1,     RECORD               FARMS-DALLOT-DTL                         VER     3 D,FARMS-DALLOT-DTL,,
39464,5,705,1,-1,     RECORD SYNONYM       DALLOT-DTL                               VER     3 D  SUFFIX -245,DALLOT-DTL,SUFFIX,-245
39503,5,706,0,-1,     RECORD               FARMS-DALLOT-DTL                         VER     4 D,FARMS-DALLOT-DTL,,
39533,5,706,1,-1,     RECORD SYNONYM       DALLOT-DTL                               VER     4 S  SUFFIX -245,DALLOT-DTL,SUFFIX,-245
39646,5,707,0,-1,     RECORD               FARMS-DALLOT-OBLGN                       VER     2 D,FARMS-DALLOT-OBLGN,,
39656,5,707,1,-1,     RECORD SYNONYM       DALLOT-OBLGN                             VER     2 S  SUFFIX -265,DALLOT-OBLGN,SUFFIX,-265
39758,5,708,0,-1,     RECORD               FARMS-DALLOT-OTH                         VER     1 D,FARMS-DALLOT-OTH,,
39760,5,708,1,-1,     RECORD SYNONYM       DALLOT-OTH                               VER     1 S  SUFFIX -240,DALLOT-OTH,SUFFIX,-240
39846,5,709,0,-1,     RECORD               FARMS-DAPROC                             VER     2 D,FARMS-DAPROC,,
39850,5,709,1,-1,     RECORD SYNONYM       DAPROC                                   VER     2 S  SUFFIX -280,DAPROC,SUFFIX,-280
39966,5,710,0,-1,     RECORD               FARMS-DISCRP                             VER    89 D,FARMS-DISCRP,,
40018,5,710,1,-1,     RECORD SYNONYM       DISCRP                                   VER    89 S,DISCRP,,
40089,5,711,0,-1,     RECORD               FARMS-DISCRP-MISC                        VER     2 D,FARMS-DISCRP-MISC,,
40096,5,711,1,-1,     RECORD SYNONYM       DISCRP-MISC                              VER     2 S,DISCRP-MISC,,
40112,5,712,0,-1,     RECORD               FARMS-DSTR-SETASD                        VER     1 D,FARMS-DSTR-SETASD,,
40147,5,712,1,-1,     RECORD SYNONYM       DSTR-SETASD                              VER     1 D  SUFFIX -303,DSTR-SETASD,SUFFIX,-303
40188,5,713,0,-1,     RECORD               FARMS-DSTR-SETASD                        VER     2 D,FARMS-DSTR-SETASD,,
40227,5,713,1,-1,     RECORD SYNONYM       DSTR-SETASD                              VER     2 D  SUFFIX -303,DSTR-SETASD,SUFFIX,-303
40275,5,714,0,-1,     RECORD               FARMS-DSTR-SETASD                        VER     3 D,FARMS-DSTR-SETASD,,
40315,5,714,1,-1,     RECORD SYNONYM       DSTR-SETASD                              VER     3 S  SUFFIX -303,DSTR-SETASD,SUFFIX,-303
40373,5,715,0,-1,     RECORD               FARMS-DTEREC                             VER     1 D,FARMS-DTEREC,,
40381,5,715,1,-1,     RECORD SYNONYM       DTEREC                                   VER     1 S  SUFFIX -172,DTEREC,SUFFIX,-172
40413,5,716,0,-1,     RECORD               FARMS-DTL-RATE                           VER     1 D,FARMS-DTL-RATE,,
40426,5,716,1,-1,     RECORD SYNONYM       DTL-RATE                                 VER     1 S  SUFFIX -262,DTL-RATE,SUFFIX,-262
40463,5,717,0,-1,     RECORD               FARMS-EASMNT                             VER     2 D,FARMS-EASMNT,,
40484,5,717,1,-1,     RECORD SYNONYM       EASMNT                                   VER     2 S  SUFFIX -191,EASMNT,SUFFIX,-191
40541,5,718,0,-1,     RECORD               FARMS-EQTYRVRS                           VER     1 D,FARMS-EQTYRVRS,,
40557,5,718,1,-1,     RECORD SYNONYM       EQTYRVRS                                 VER     1 S  SUFFIX -113,EQTYRVRS,SUFFIX,-113
40584,5,719,0,-1,     RECORD               FARMS-EQUITY                             VER     3 D,FARMS-EQUITY,,
40614,5,719,1,-1,     RECORD SYNONYM       EQUITY                                   VER     3 D  SUFFIX -109,EQUITY,SUFFIX,-109
40695,5,720,0,-1,     RECORD               FARMS-EQUITY                             VER     4 D,FARMS-EQUITY,,
40727,5,720,1,-1,     RECORD SYNONYM       EQUITY                                   VER     4 D  SUFFIX -109,EQUITY,SUFFIX,-109
40767,5,721,0,-1,     RECORD               FARMS-EQUITY                             VER     5 D,FARMS-EQUITY,,
40802,5,721,1,-1,     RECORD SYNONYM       EQUITY                                   VER     5 S  SUFFIX -109,EQUITY,SUFFIX,-109
40855,5,722,0,-1,     RECORD               FARMS-FD-SIDE                            VER     1 D,FARMS-FD-SIDE,,
40862,5,722,1,-1,     RECORD SYNONYM       FD-SIDE                                  VER     1 S  SUFFIX -250,FD-SIDE,SUFFIX,-250
40970,5,723,0,-1,     RECORD               FARMS-FDCDE                              VER     1 D,FARMS-FDCDE,,
40975,5,723,1,-1,     RECORD SYNONYM       FDCDE                                    VER     1 S  SUFFIX -163,FDCDE,SUFFIX,-163
40998,5,724,0,-1,     RECORD               FARMS-GLBORR                             VER     6 D,FARMS-GLBORR,,
41236,5,724,1,-1,     RECORD SYNONYM       GLBORR                                   VER     6 D  SUFFIX -605,GLBORR,SUFFIX,-605
41478,5,725,0,-1,     RECORD               FARMS-GLBORR                             VER     7 D,FARMS-GLBORR,,
41718,5,725,1,-1,     RECORD SYNONYM       GLBORR                                   VER     7 D  SUFFIX -605,GLBORR,SUFFIX,-605
41968,5,726,0,-1,     RECORD               FARMS-GLBORR                             VER     8 D,FARMS-GLBORR,,
42209,5,726,1,-1,     RECORD SYNONYM       GLBORR                                   VER     8 S  SUFFIX -605,GLBORR,SUFFIX,-605
42457,5,727,0,-1,     RECORD               FARMS-GLLNDR                             VER     1 D,FARMS-GLLNDR,,
42573,5,727,1,-1,     RECORD SYNONYM       GLLNDR                                   VER     1 D  SUFFIX -600,GLLNDR,SUFFIX,-600
42693,5,728,0,-1,     RECORD               FARMS-GLLNDR                             VER     2 D,FARMS-GLLNDR,,
42809,5,728,1,-1,     RECORD SYNONYM       GLLNDR                                   VER     2 D  SUFFIX -600,GLLNDR,SUFFIX,-600
42935,5,729,0,-1,     RECORD               FARMS-GLLNDR                             VER     3 D,FARMS-GLLNDR,,
43058,5,729,1,-1,     RECORD SYNONYM       GLLNDR                                   VER     3 S  SUFFIX -600,GLLNDR,SUFFIX,-600
43196,5,730,0,-1,     RECORD               FARMS-IMCASE                             VER     1 D,FARMS-IMCASE,,
43205,5,730,1,-1,     RECORD SYNONYM       IMCASE                                   VER     1 S  SUFFIX -216,IMCASE,SUFFIX,-216
43412,5,731,0,-1,     RECORD               FARMS-INITMAN                            VER     1 D,FARMS-INITMAN,,
43455,5,731,1,-1,     RECORD SYNONYM       INITMAN                                  VER     1 S  SUFFIX -217,INITMAN,SUFFIX,-217
43709,5,732,0,-1,     RECORD               FARMS-INSRNC-AUTHY                       VER     2 D,FARMS-INSRNC-AUTHY,,
43725,5,732,1,-1,     RECORD SYNONYM       INSRNC-AUTHY                             VER     2 S  SUFFIX -255,INSRNC-AUTHY,SUFFIX,-255
43838,5,733,0,-1,     RECORD               FARMS-INSTALLMENT                        VER     1 D,FARMS-INSTALLMENT,,
43846,5,733,1,-1,     RECORD SYNONYM       INSTALLMENT                              VER     1 S  SUFFIX -319,INSTALLMENT,SUFFIX,-319
43942,5,734,0,-1,     RECORD               FARMS-INSURANCE                          VER     1 D,FARMS-INSURANCE,,
43948,5,734,1,-1,     RECORD SYNONYM       INSURANCE                                VER     1 S,INSURANCE,,
44047,5,735,0,-1,     RECORD               FARMS-INT-ASSTNC                         VER     1 D,FARMS-INT-ASSTNC,,
44055,5,735,1,-1,     RECORD SYNONYM       INT-ASSTNC                               VER     1 S,INT-ASSTNC,,
44144,5,736,0,-1,     RECORD               FARMS-INT-BDWN                           VER     4 D,FARMS-INT-BDWN,,
44155,5,736,1,-1,     RECORD SYNONYM       INT-BDWN                                 VER     4 D  SUFFIX -416,INT-BDWN,SUFFIX,-416
44172,5,737,0,-1,     RECORD               FARMS-INT-BDWN                           VER     6 D,FARMS-INT-BDWN,,
44188,5,737,1,-1,     RECORD SYNONYM       INT-BDWN                                 VER     6 D  SUFFIX -416,INT-BDWN,SUFFIX,-416
44215,5,738,0,-1,     RECORD               FARMS-INT-BDWN                           VER     7 D,FARMS-INT-BDWN,,
44232,5,738,1,-1,     RECORD SYNONYM       INT-BDWN                                 VER     7 S  SUFFIX -416,INT-BDWN,SUFFIX,-416
44271,5,739,0,-1,     RECORD               FARMS-INVSTR-DTL                         VER     3 D,FARMS-INVSTR-DTL,,
44301,5,739,1,-1,     RECORD SYNONYM       INVSTR-DTL                               VER     3 S,INVSTR-DTL,,
44373,5,740,0,-1,     RECORD               FARMS-INVSTR-INFO                        VER     1 D,FARMS-INVSTR-INFO,,
44398,5,740,1,-1,     RECORD SYNONYM       INVSTR-INFO                              VER     1 S,INVSTR-INFO,,
44508,5,741,0,-1,     RECORD               FARMS-INVSTR-INFO-MISC                   VER     1 D,FARMS-INVSTR-INFO-MISC,,
44512,5,741,1,-1,     RECORD SYNONYM       INVSTR-INFO-MISC                         VER     1 S,INVSTR-INFO-MISC,,
44536,5,742,0,-1,     RECORD               FARMS-JDGMT-3RD-PARTY                    VER     2 D,FARMS-JDGMT-3RD-PARTY,,
44546,5,742,1,-1,     RECORD SYNONYM       JDGMT-3RD-PARTY                          VER     2 S,JDGMT-3RD-PARTY,,
44601,5,743,0,-1,     RECORD               FARMS-JOB-RESTART                        VER     1 D,FARMS-JOB-RESTART,,
44606,5,743,1,-1,     RECORD SYNONYM       JOB-RESTART                              VER     1 S,JOB-RESTART,,
44706,5,744,0,-1,     RECORD               FARMS-JURDCTN                            VER    90 D,FARMS-JURDCTN,,
44711,5,744,1,-1,     RECORD SYNONYM       JURDCTN                                  VER    90 S,JURDCTN,,
44733,5,745,0,-1,     RECORD               FARMS-LESSEE                             VER     3 D,FARMS-LESSEE,,
44749,5,745,1,-1,     RECORD SYNONYM       LESSEE                                   VER     3 S,LESSEE,,
44798,5,746,0,-1,     RECORD               FARMS-LN-AID                             VER     4 D,FARMS-LN-AID,,
44812,5,746,1,-1,     RECORD SYNONYM       LN-AID                                   VER     4 S,LN-AID,,
44892,5,747,0,-1,     RECORD               FARMS-LN-NO-INT                          VER     1 D,FARMS-LN-NO-INT,,
44897,5,747,1,-1,     RECORD SYNONYM       LN-NO-INT                                VER     1 S  SUFFIX -324,LN-NO-INT,SUFFIX,-324
44922,5,748,0,-1,     RECORD               FARMS-LNRATE                             VER     1 D,FARMS-LNRATE,,
44929,5,748,1,-1,     RECORD SYNONYM       LNRATE                                   VER     1 D  SUFFIX -167,LNRATE,SUFFIX,-167
44947,5,749,0,-1,     RECORD               FARMS-LNRATE                             VER     2 D,FARMS-LNRATE,,
44955,5,749,1,-1,     RECORD SYNONYM       LNRATE                                   VER     2 S  SUFFIX -167,LNRATE,SUFFIX,-167
44979,5,750,0,-1,     RECORD               FARMS-LOAN                               VER     4 D,FARMS-LOAN,,
45027,5,750,1,-1,     RECORD SYNONYM       LOAN                                     VER     4 D,LOAN,,
45094,5,751,0,-1,     RECORD               FARMS-LOAN                               VER     5 D,FARMS-LOAN,,
45142,5,751,1,-1,     RECORD SYNONYM       LOAN                                     VER     5 S,LOAN,,
45348,5,752,0,-1,     RECORD               FARMS-LOAN-DRE                           VER     1 D,FARMS-LOAN-DRE,,
45354,5,752,1,-1,     RECORD SYNONYM       LOAN-DRE                                 VER     1 S,LOAN-DRE,,
45445,5,753,0,-1,     RECORD               FARMS-LOAN-OTC                           VER     1 D,FARMS-LOAN-OTC,,
45458,5,753,1,-1,     RECORD SYNONYM       LOAN-OTC                                 VER     1 S,LOAN-OTC,,
45565,5,754,0,-1,     RECORD               FARMS-LOAN-SFSI                          VER     1 D,FARMS-LOAN-SFSI,,
45574,5,754,1,-1,     RECORD SYNONYM       LOAN-SFSI                                VER     1 S  SUFFIX -323,LOAN-SFSI,SUFFIX,-323
45603,5,755,0,-1,     RECORD               FARMS-LOCTN-LOOKUP                       VER     1 D,FARMS-LOCTN-LOOKUP,,
45699,5,756,0,-1,     RECORD               FARMS-LSE-INFO                           VER     3 D,FARMS-LSE-INFO,,
